initiative_id,initiative_name,problem_frame,strategic_priority,primary_layer,current_status,strategic_fit,implementation_feasibility,systems_leverage,learning_value,ethical_legitimacy,uncertainty
S001,Idea architecture review,Weak conceptual structure limits strategy quality,Build reusable idea architecture,ideation,active,0.89,0.76,0.78,0.91,0.84,0.24
S002,Strategic choice clarification,Priorities exist but tradeoffs are unclear,Clarify strategic decision rules,strategy,planned,0.92,0.71,0.74,0.80,0.83,0.28
S003,Tactical translation sprint,Strategy does not translate into coordinated action,Convert direction into operational pathways,tactics,active,0.86,0.82,0.68,0.79,0.80,0.22
S004,Feedback routing system,Execution feedback is not informing the right layer,Route learning to ideation strategy or tactics,learning,planned,0.88,0.68,0.82,0.94,0.86,0.31
S005,Strategy portfolio reset,Too many initiatives dilute strategic focus,Reduce sprawl and align portfolio,strategy,review,0.84,0.63,0.76,0.77,0.79,0.37
S006,Stakeholder legitimacy review,Strategy lacks affected-stakeholder visibility,Improve voice burden and legitimacy review,ethics,planned,0.78,0.61,0.72,0.86,0.95,0.35
S007,Decision memory archive,Past tradeoffs and rejected options are not preserved,Create reusable decision memory,learning,active,0.81,0.74,0.70,0.88,0.82,0.20
S008,Scenario stress test,Direction may be brittle under future conditions,Test strategy under plausible future scenarios,strategy,planned,0.85,0.66,0.83,0.89,0.81,0.39
S009,Tactical overload audit,Teams are busy but impact is unclear,Identify tactical activity not linked to strategy,tactics,review,0.79,0.84,0.67,0.75,0.76,0.21
S010,Conceptual reframing lab,Legacy frame may be constraining options,Reopen problem framing before selection,ideation,planned,0.87,0.58,0.86,0.92,0.88,0.43
