interpretation_id,narrative_id,stakeholder_group,understanding_quality,trust_in_narrative,perceived_truthfulness,perceived_inclusion,perceived_burden_visibility,contestation_level
SI001,SN001,employees,0.42,0.34,0.36,0.38,0.32,0.70
SI002,SN001,community_partners,0.36,0.30,0.28,0.31,0.29,0.78
SI003,SN002,employees,0.70,0.66,0.68,0.62,0.58,0.36
SI004,SN002,external_partners,0.66,0.62,0.64,0.60,0.56,0.40
SI005,SN003,employees,0.78,0.74,0.76,0.70,0.66,0.28
SI006,SN003,community_partners,0.74,0.76,0.78,0.80,0.78,0.24
SI007,SN004,employees,0.38,0.34,0.36,0.33,0.31,0.74
SI008,SN004,external_partners,0.34,0.30,0.32,0.28,0.26,0.80
SI009,SN005,frontline_workers,0.46,0.32,0.38,0.30,0.22,0.82
SI010,SN006,affected_communities,0.76,0.78,0.80,0.86,0.84,0.22
SI011,SN007,policy_partners,0.72,0.68,0.70,0.62,0.60,0.34
SI012,SN008,employees,0.48,0.36,0.34,0.35,0.30,0.76
