mapping_id,strategy_id,source_id,target_id,actor_correspondence,relation_correspondence,flow_correspondence,constraint_correspondence,feedback_correspondence,failure_mode_correspondence,breakpoint_visibility,mapping_confidence
M001,A001,S001,T006,0.52,0.34,0.36,0.42,0.30,0.28,0.26,0.36
M002,A002,S002,T004,0.68,0.76,0.82,0.70,0.72,0.66,0.70,0.72
M003,A003,S008,T003,0.58,0.74,0.72,0.78,0.76,0.70,0.72,0.70
M004,A004,S006,T005,0.56,0.62,0.58,0.70,0.52,0.64,0.62,0.58
M005,A005,S007,T005,0.76,0.88,0.80,0.86,0.82,0.84,0.86,0.84
M006,A006,S001,T006,0.54,0.40,0.42,0.44,0.36,0.34,0.30,0.38
M007,A007,S003,T001,0.80,0.88,0.86,0.78,0.84,0.82,0.80,0.86
M008,A008,S004,T003,0.72,0.86,0.82,0.88,0.90,0.84,0.82,0.86
M009,A005,S005,T002,0.70,0.84,0.78,0.72,0.80,0.76,0.78,0.82
M010,A002,S002,T003,0.64,0.74,0.78,0.70,0.68,0.66,0.70,0.70
