prototype_id,idea_id,prototype_name,learning_goal,minimum_test,success_signal,review_layer,estimated_weeks,resource_intensity
P001,I001,Decision memory repository pilot,Test whether teams document idea rationale and rejected options,Use template in three active decisions,At least 80 percent of decisions include rationale and rejected alternatives,learning,6,medium
P002,I002,Assumption workshop pilot,Test whether assumption mapping improves option evaluation,Run workshop before selection meeting,Participants revise at least two option scores after assumption review,ideation,3,low
P003,I003,Scenario option review,Test whether future scenarios alter option ranking,Compare baseline and three scenario scores,At least one major ranking shift is explained and reviewed,strategy,4,medium
P004,I004,Evidence sprint,Test whether rapid prototype evidence changes commitment level,Run two-week evidence sprint before funding decision,Decision changes or is strengthened with explicit evidence,experimentation,2,medium
P005,I005,Governance metric review,Test whether dashboard metrics support rather than distort judgment,Review candidate metrics for gaming and false precision,At least two metrics are revised before launch,governance,5,medium
P006,I006,Legitimacy review session,Test whether affected stakeholders identify hidden burdens,Conduct structured burden review,Hidden burden or exclusion risk is documented and addressed,ethics,4,medium
P007,I007,Implementation dependency map,Test whether sequencing risks can be identified early,Map dependencies before execution approval,Critical dependency risks are identified and assigned,execution,3,low
P008,I008,Second-order effects audit,Test whether feedback risks are visible before commitment,Run causal and incentive review,At least one plausible unintended consequence changes implementation design,systems,4,medium
P009,I009,Rejected-alternative archive,Test whether rejected options improve future review,Record rejected alternatives across two selection meetings,Future review uses archived alternative or rationale,learning,8,low
P010,I010,Option architecture reset sprint,Test whether option classification improves portfolio balance,Classify active ideas by role horizon commitment and reversibility,Portfolio review changes sequencing or resource allocation,strategy,3,medium
P011,I011,Criteria weighting workshop,Test whether explicit weighting improves legitimacy and clarity,Run criteria weighting before idea selection,Participants identify tradeoffs and revise weights before scoring,governance,3,low
P012,I012,Learning loop governance pilot,Test whether feedback changes strategic assumptions,Run monthly learning-loop review for one initiative,At least one assumption or strategic pathway is revised,learning,8,medium
