assumption_id,link_id,idea_id,assumption_statement,assumption_type,criticality,uncertainty,evidence_strength,evidence_relevance,evidence_transferability,testability,stakeholder_sensitivity,system_sensitivity,decision_owner,review_action
A001,L002,I001,Users will contribute and reuse knowledge consistently,behavior,0.86,0.70,0.38,0.62,0.54,0.78,0.72,0.70,knowledge_lead,test_first
A002,L003,I001,Knowledge reuse will improve decision quality,mechanism,0.78,0.62,0.42,0.58,0.50,0.64,0.54,0.66,strategy_lead,test_decision_quality
A003,L004,I002,Affected stakeholders will view the redesign process as legitimate,stakeholder_legitimacy,0.90,0.72,0.44,0.72,0.60,0.74,0.94,0.76,service_owner,stakeholder_review
A004,L005,I002,Service redesign will not shift burden to frontline workers,system_feedback,0.82,0.64,0.40,0.66,0.56,0.68,0.88,0.80,implementation_lead,burden_shift_review
A005,L006,I003,Decision-makers will use foresight outputs in real decisions,behavior,0.88,0.70,0.40,0.62,0.54,0.70,0.60,0.82,foresight_lead,decision_use_test
A006,L007,I003,Scenario readiness will improve strategic resilience,impact_pathway,0.76,0.72,0.34,0.58,0.48,0.52,0.48,0.86,foresight_lead,scenario_stress_test
A007,L008,I004,Targets will improve outcomes rather than metric gaming,incentive,0.78,0.68,0.36,0.58,0.50,0.64,0.72,0.68,performance_lead,countermetric_review
A008,L009,I004,Short-term metric movement reflects real progress,evidence_transfer,0.72,0.70,0.32,0.52,0.44,0.58,0.60,0.62,analytics_lead,evidence_mismatch_review
A009,L010,I005,AI suggestions will improve idea quality rather than amplify weak frames,technology_mechanism,0.84,0.66,0.42,0.60,0.50,0.76,0.70,0.78,innovation_lead,blind_quality_review
A010,L011,I005,Human review will remain accountable and disciplined,governance,0.86,0.62,0.40,0.66,0.56,0.60,0.78,0.72,ethics_lead,governance_review
A011,L012,I006,Cross-functional governance will reduce alignment drift,mechanism,0.82,0.60,0.42,0.64,0.58,0.58,0.58,0.72,governance_lead,alignment_signal_test
A012,L014,I007,Portfolio governance will stop weak pilots instead of defending them,governance,0.86,0.66,0.38,0.62,0.52,0.62,0.70,0.74,portfolio_board,define_stop_rules
A013,L015,I008,Teams will use equity review as decision input rather than compliance ritual,behavior,0.84,0.68,0.36,0.66,0.56,0.66,0.90,0.72,governance_lead,decision_linkage_review
A014,L016,I008,Burden and harm can be made visible before implementation,ethical_evidence,0.82,0.60,0.44,0.74,0.64,0.72,0.94,0.74,ethics_lead,stakeholder_burden_review
