institution_id,boundary_id,institutional_frame,authority_clarity,influence_capacity,consequence_visibility,accountability_clarity,cross_boundary_coordination,externality_risk,escalation_path_quality,learning_flow_quality,review_action
I001,B001,department_scope,0.78,0.52,0.36,0.58,0.34,0.62,0.40,0.42,map_consequence_boundary
I002,B002,service_owner_plus_users,0.66,0.66,0.72,0.62,0.58,0.42,0.54,0.64,maintain_cross_boundary_learning
I003,B003,system_coalition,0.54,0.78,0.82,0.60,0.76,0.46,0.68,0.72,clarify_governance_roles
I004,B004,performance_management_unit,0.72,0.48,0.30,0.50,0.28,0.70,0.34,0.34,review_externalized_burden
I005,B005,adaptive_governance_board,0.70,0.80,0.86,0.76,0.78,0.34,0.76,0.86,use_as_governance_model
I006,B006,legal_mandate_boundary,0.88,0.44,0.40,0.72,0.36,0.64,0.54,0.46,distinguish_authority_and_consequence
I007,B007,resilience_coordination_body,0.62,0.74,0.78,0.66,0.72,0.40,0.64,0.70,protect_long_term_accountability
I008,B008,ethics_and_accountability_boundary,0.58,0.70,0.84,0.78,0.68,0.38,0.62,0.76,strengthen_inclusion_and_redress
I009,B009,technical_product_team,0.76,0.56,0.34,0.54,0.40,0.66,0.44,0.38,connect_product_scope_to_user_consequences
I010,B010,theory_of_change_governance,0.72,0.76,0.80,0.74,0.70,0.36,0.72,0.78,align_governance_with_mechanism
