idea_id,idea_name,idea_type,frame_family,source_domain,novelty,strategic_relevance,conceptual_coherence,mechanism_clarity,testability,stakeholder_grounding,systems_fit,developmental_potential,implementation_risk,revision_capacity,description
I001,New campaign around an old service model,surface_novelty,awareness,marketing,0.42,0.54,0.58,0.38,0.72,0.34,0.36,0.46,0.34,0.44,Refreshes language and campaign assets while preserving the same service model and assumptions.
I002,Stakeholder-burden redesign concept,stakeholder_creativity,burden,user_research,0.72,0.86,0.78,0.80,0.70,0.92,0.78,0.82,0.56,0.82,Redesigns the strategic concept around hidden burden and stakeholder agency.
I003,Cross-domain analogy from public health,analogical_creativity,prevention,public_health,0.84,0.78,0.70,0.72,0.62,0.66,0.74,0.84,0.60,0.84,Transfers prevention and early-warning logic from public health into strategic service design.
I004,AI-assisted personalization feature,technology_creativity,personalization,technology,0.66,0.68,0.62,0.56,0.78,0.48,0.52,0.68,0.58,0.64,Uses adaptive personalization to tailor user pathways but has unresolved trust and systems concerns.
I005,Governance redesign for implementation learning,institutional_creativity,learning,organizational_governance,0.76,0.88,0.82,0.84,0.66,0.70,0.90,0.86,0.66,0.86,Changes the governance system so implementation evidence updates decisions and roles.
I006,Low-resource prototype pathway,adaptive_creativity,experimentation,lean_strategy,0.58,0.80,0.76,0.74,0.88,0.72,0.76,0.78,0.34,0.80,Stages a low-risk prototype before major commitment.
I007,Metric redesign for long-term learning,systems_creativity,measurement,systems_thinking,0.74,0.84,0.80,0.82,0.64,0.62,0.88,0.82,0.62,0.78,Replaces short-term output metrics with learning and system health indicators.
I008,Participatory strategy studio,participatory_creativity,co_design,community_strategy,0.82,0.86,0.74,0.76,0.58,0.94,0.80,0.88,0.70,0.84,Creates an ongoing co-design studio for affected stakeholders and implementation owners.
I009,Executive innovation showcase,novelty_theater,branding,internal_events,0.70,0.50,0.52,0.34,0.46,0.30,0.32,0.42,0.40,0.38,Produces an impressive event but little mechanism for strategy or learning.
I010,Scenario-based option portfolio,futures_creativity,uncertainty,foresight,0.78,0.84,0.78,0.76,0.66,0.64,0.86,0.86,0.58,0.82,Develops several strategic options tested across plausible futures.
