scenario_id,scenario_name,option_id,strategic_fit,impact,feasibility,risk_control,learning_value,option_value,ethical_resilience,evidence_confidence
S001,stable_growth,DM001,0.80,0.70,0.84,0.74,0.40,0.36,0.60,0.78
S001,stable_growth,DM002,0.62,0.58,0.68,0.56,0.84,0.76,0.64,0.52
S001,stable_growth,DM003,0.74,0.92,0.48,0.38,0.70,0.58,0.48,0.44
S001,stable_growth,DM004,0.72,0.62,0.58,0.74,0.54,0.68,0.82,0.66
S001,stable_growth,DM005,0.66,0.58,0.64,0.70,0.66,0.56,0.88,0.62
S001,stable_growth,DM006,0.78,0.72,0.62,0.68,0.72,0.88,0.74,0.58
S002,regulatory_change,DM001,0.68,0.58,0.72,0.62,0.36,0.32,0.58,0.72
S002,regulatory_change,DM002,0.64,0.56,0.62,0.60,0.86,0.78,0.70,0.54
S002,regulatory_change,DM003,0.58,0.70,0.36,0.28,0.72,0.58,0.40,0.40
S002,regulatory_change,DM004,0.78,0.68,0.56,0.82,0.58,0.74,0.86,0.68
S002,regulatory_change,DM005,0.72,0.62,0.60,0.76,0.70,0.60,0.90,0.64
S002,regulatory_change,DM006,0.76,0.68,0.58,0.72,0.74,0.86,0.78,0.58
S003,technology_disruption,DM001,0.58,0.52,0.66,0.54,0.36,0.30,0.56,0.68
S003,technology_disruption,DM002,0.70,0.64,0.64,0.58,0.90,0.82,0.68,0.56
S003,technology_disruption,DM003,0.64,0.82,0.34,0.24,0.76,0.54,0.38,0.38
S003,technology_disruption,DM004,0.70,0.66,0.54,0.76,0.60,0.76,0.84,0.66
S003,technology_disruption,DM005,0.66,0.60,0.58,0.72,0.72,0.62,0.88,0.62
S003,technology_disruption,DM006,0.82,0.76,0.62,0.74,0.78,0.92,0.80,0.60
