constraint_id,context_id,constraint_name,constraint_type,is_real_constraint,certainty,strategic_importance,redesign_potential,evidence_quality,burden_visibility,notes
K001,CC001,No fixed decision criteria,process_gap,false,0.62,0.76,0.88,0.38,0.42,Under-constrained process causing diffusion
K002,CC001,Very broad strategic scope,scope_gap,false,0.58,0.72,0.76,0.40,0.36,Scope needs narrowing before selection
K003,CC002,Limited implementation capacity,resource,true,0.80,0.82,0.44,0.76,0.62,Requires sequencing and portfolio discipline
K004,CC002,Prototype evidence required,evidence,true,0.84,0.86,0.28,0.82,0.66,Useful convergence gate
K005,CC003,Legacy approval process,institutional,false,0.74,0.84,0.78,0.50,0.44,Inherited procedure may be redesignable
K006,CC003,Current technical architecture,technical,true,0.86,0.80,0.36,0.82,0.48,Can be phased but not ignored
K007,CC004,Severe funding constraint,resource,true,0.88,0.86,0.40,0.84,0.58,Stimulates frugal design but risks undercapacity
K008,CC004,Limited material inputs,material,true,0.82,0.78,0.46,0.78,0.62,Encourages reuse and modularity
K009,CC005,Public accountability requirement,ethical,true,0.90,0.92,0.20,0.86,0.88,Legitimacy condition, not a burden to bypass
K010,CC005,Democratic review timeline,institutional,true,0.78,0.84,0.34,0.76,0.82,Slows action but protects accountability
K011,CC006,Single-vendor platform dependency,technical,true,0.76,0.82,0.58,0.70,0.46,May be reduced through modular architecture
K012,CC006,Assumption that migration is impossible,assumed,false,0.64,0.78,0.82,0.42,0.40,Requires first-principles review
K013,CC007,Carbon budget limit,ecological,true,0.88,0.92,0.22,0.84,0.86,Non-negotiable design boundary
K014,CC007,Material circularity requirement,ecological,true,0.80,0.86,0.36,0.76,0.82,Can stimulate circular design
K015,CC008,Only legacy categories are fundable,assumed,false,0.70,0.84,0.86,0.44,0.36,Possible institutionalized false constraint
K016,CC008,Senior leadership preference for known models,power_assumption,false,0.76,0.88,0.80,0.40,0.34,Political constraint requiring explicit review
