function_id,constraint_id,context_id,focus_value,tradeoff_visibility,recombination_pressure,legitimacy_protection,learning_value,suppression_risk,capability_requirement
F001,K001,CC001,0.24,0.28,0.32,0.30,0.34,0.70,0.42
F002,K003,CC002,0.74,0.70,0.66,0.58,0.72,0.34,0.70
F003,K004,CC002,0.82,0.76,0.60,0.66,0.84,0.28,0.74
F004,K005,CC003,0.48,0.42,0.36,0.44,0.40,0.82,0.62
F005,K006,CC003,0.62,0.58,0.54,0.46,0.56,0.76,0.80
F006,K007,CC004,0.82,0.78,0.84,0.52,0.76,0.58,0.72
F007,K008,CC004,0.78,0.72,0.82,0.60,0.74,0.44,0.68
F008,K009,CC005,0.76,0.82,0.62,0.92,0.78,0.26,0.76
F009,K010,CC005,0.70,0.74,0.50,0.88,0.66,0.36,0.72
F010,K011,CC006,0.66,0.60,0.68,0.44,0.70,0.62,0.84
F011,K012,CC006,0.36,0.40,0.44,0.38,0.52,0.76,0.64
F012,K013,CC007,0.84,0.90,0.78,0.88,0.82,0.30,0.82
F013,K014,CC007,0.80,0.86,0.84,0.84,0.80,0.32,0.78
F014,K015,CC008,0.40,0.42,0.36,0.34,0.38,0.84,0.60
F015,K016,CC008,0.36,0.38,0.32,0.30,0.34,0.88,0.66
