integration_id,reframe_id,context_id,criteria_clarity,evidence_readiness,prototype_readiness,risk_review_quality,stakeholder_review_quality,systems_review_quality,implementation_readiness,decision_memory_quality
C001,R001,LT001,0.60,0.58,0.52,0.54,0.56,0.62,0.54,0.50
C002,R002,LT001,0.66,0.62,0.56,0.60,0.68,0.70,0.58,0.56
C003,R003,LT002,0.76,0.72,0.70,0.68,0.74,0.78,0.72,0.70
C004,R004,LT002,0.74,0.70,0.68,0.70,0.78,0.76,0.70,0.68
C005,R005,LT003,0.42,0.40,0.34,0.38,0.44,0.46,0.30,0.32
C006,R006,LT003,0.40,0.36,0.32,0.38,0.42,0.50,0.28,0.30
C007,R007,LT004,0.80,0.76,0.74,0.78,0.76,0.82,0.76,0.74
C008,R008,LT004,0.84,0.78,0.76,0.80,0.80,0.88,0.78,0.82
C009,R009,LT005,0.58,0.54,0.46,0.62,0.56,0.66,0.44,0.48
C010,R010,LT005,0.56,0.52,0.44,0.58,0.68,0.62,0.42,0.46
C011,R011,LT006,0.82,0.76,0.74,0.76,0.90,0.80,0.72,0.76
C012,R012,LT007,0.80,0.72,0.70,0.78,0.76,0.92,0.70,0.78
C013,R013,LT008,0.34,0.30,0.24,0.28,0.32,0.34,0.22,0.24
