link_id,framework_id,component_id,relationship_type,importance,implementation_quality,reuse_frequency,review_action
L001,CF001,C001,requires,0.84,0.72,0.78,maintain_required_field
L002,CF001,C002,requires,0.78,0.68,0.70,improve_mechanism_clarity
L003,CF001,C004,requires,0.80,0.66,0.72,improve_assumption_capture
L004,CF001,C009,requires,0.72,0.62,0.80,standardize_tagging
L005,CF002,C001,requires,0.82,0.74,0.76,maintain_problem_structure
L006,CF002,C003,requires,0.84,0.70,0.74,improve_evidence_links
L007,CF002,C004,requires,0.78,0.68,0.70,maintain_assumption_profile
L008,CF002,C008,requires,0.74,0.66,0.68,protect_stakeholder_field
L009,CF003,C003,requires,0.88,0.76,0.72,require_evidence_summary
L010,CF003,C005,requires,0.86,0.74,0.70,require_tradeoff_analysis
L011,CF003,C006,requires,0.90,0.78,0.74,preserve_rationale
L012,CF003,C007,requires,0.82,0.68,0.66,add_revision_trigger
L013,CF004,C001,uses,0.72,0.70,0.76,maintain_narrative_problem_link
L014,CF004,C002,uses,0.74,0.66,0.70,explain_mechanism_in_story
L015,CF004,C008,uses,0.76,0.68,0.72,include_stakeholder_meaning
L016,CF005,C003,requires,0.84,0.76,0.82,preserve_learning_evidence
L017,CF005,C006,informs,0.78,0.70,0.76,link_lesson_to_decision_memory
L018,CF005,C009,requires,0.76,0.66,0.84,tag_lessons_for_reuse
L019,CF006,C003,requires,0.86,0.48,0.64,improve_ai_evidence_requirement
L020,CF006,C004,requires,0.82,0.44,0.60,require_ai_assumption_review
L021,CF006,C010,requires,0.80,0.40,0.56,preserve_ai_uncertainty
L022,CF007,C008,requires,0.88,0.72,0.70,maintain_stakeholder_implication
L023,CF007,C010,requires,0.78,0.62,0.62,include_uncertainty_and_dissent
L024,CF008,C002,requires,0.78,0.70,0.72,connect_actions_to_mechanism
L025,CF008,C007,requires,0.74,0.66,0.68,include_revision_trigger
